Year,Month Abbrev,Month,Date,labor force,employment,unemployment,unemployment rate
2000,Jan,1,Jan-20,6516094,6239476,276618,4.2
2000,Feb,2,Feb-20,6518962,6242388,276574,4.2
2000,Mar,3,Mar-20,6517873,6240306,277567,4.3
2000,Apr,4,Apr-20,6513433,6233854,279579,4.3
2000,May,5,May-20,6506021,6224796,281225,4.3
2000,Jun,6,Jun-20,6496077,6214470,281607,4.3
2000,Jul,7,Jul-20,6485284,6204277,281007,4.3
2000,Aug,8,Aug-20,6476765,6196136,280629,4.3
2000,Sep,9,Sep-20,6472215,6190685,281530,4.3
2000,Oct,10,Oct-20,6472347,6187872,284475,4.4
2000,Nov,11,Nov-20,6476902,6186095,290807,4.5
2000,Dec,12,Dec-20,6484014,6183626,300388,4.6
2001,Jan,1,Jan-20,6490801,6179455,311346,4.8
2001,Feb,2,Feb-20,6494515,6173485,321030,4.9
2001,Mar,3,Mar-20,6492605,6165471,327134,5
2001,Apr,4,Apr-20,6484184,6154759,329425,5.1
2001,May,5,May-20,6472068,6142287,329781,5.1
2001,Jun,6,Jun-20,6459193,6128517,330676,5.1
2001,Jul,7,Jul-20,6448283,6114115,334168,5.2
2001,Aug,8,Aug-20,6439518,6097509,342009,5.3
2001,Sep,9,Sep-20,6432465,6078229,354236,5.5
2001,Oct,10,Oct-20,6426471,6057789,368682,5.7
2001,Nov,11,Nov-20,6419973,6037149,382824,6
2001,Dec,12,Dec-20,6413132,6018004,395128,6.2
2002,Jan,1,Jan-20,6406079,6001252,404827,6.3
2002,Feb,2,Feb-20,6398245,5986048,412197,6.4
2002,Mar,3,Mar-20,6389001,5971273,417728,6.5
2002,Apr,4,Apr-20,6378638,5957701,420937,6.6
2002,May,5,May-20,6367557,5945768,421789,6.6
2002,Jun,6,Jun-20,6356257,5935687,420570,6.6
2002,Jul,7,Jul-20,6344278,5926355,417923,6.6
2002,Aug,8,Aug-20,6332078,5917303,414775,6.6
2002,Sep,9,Sep-20,6320656,5908153,412503,6.5
2002,Oct,10,Oct-20,6310176,5897923,412253,6.5
2002,Nov,11,Nov-20,6301525,5888140,413385,6.6
2002,Dec,12,Dec-20,6294161,5879860,414301,6.6
2003,Jan,1,Jan-20,6289479,5874230,415249,6.6
2003,Feb,2,Feb-20,6288923,5872405,416518,6.6
2003,Mar,3,Mar-20,6291947,5873406,418541,6.7
2003,Apr,4,Apr-20,6296745,5874101,422644,6.7
2003,May,5,May-20,6300774,5872002,428772,6.8
2003,Jun,6,Jun-20,6303462,5868213,435249,6.9
2003,Jul,7,Jul-20,6304691,5865120,439571,7
2003,Aug,8,Aug-20,6304389,5864487,439902,7
2003,Sep,9,Sep-20,6302881,5867671,435210,6.9
2003,Oct,10,Oct-20,6301623,5874607,427016,6.8
2003,Nov,11,Nov-20,6301537,5883474,418063,6.6
2003,Dec,12,Dec-20,6302761,5892125,410636,6.5
2004,Jan,1,Jan-20,6304014,5898884,405130,6.4
2004,Feb,2,Feb-20,6304636,5903488,401148,6.4
2004,Mar,3,Mar-20,6306165,5907621,398544,6.3
2004,Apr,4,Apr-20,6308393,5912566,395827,6.3
2004,May,5,May-20,6311094,5918546,392548,6.2
2004,Jun,6,Jun-20,6314871,5925329,389542,6.2
2004,Jul,7,Jul-20,6320495,5932774,387721,6.1
2004,Aug,8,Aug-20,6327663,5940901,386762,6.1
2004,Sep,9,Sep-20,6335450,5949067,386383,6.1
2004,Oct,10,Oct-20,6342646,5956622,386024,6.1
2004,Nov,11,Nov-20,6348510,5963704,384806,6.1
2004,Dec,12,Dec-20,6354427,5971205,383222,6
2005,Jan,1,Jan-20,6360665,5979321,381344,6
2005,Feb,2,Feb-20,6366666,5987352,379314,6
2005,Mar,3,Mar-20,6372136,5995822,376314,5.9
2005,Apr,4,Apr-20,6378227,6005800,372427,5.8
2005,May,5,May-20,6385844,6017800,368044,5.8
2005,Jun,6,Jun-20,6394147,6030415,363732,5.7
2005,Jul,7,Jul-20,6402445,6041549,360896,5.6
2005,Aug,8,Aug-20,6410083,6050646,359437,5.6
2005,Sep,9,Sep-20,6416563,6058871,357692,5.6
2005,Oct,10,Oct-20,6422142,6068506,353636,5.5
2005,Nov,11,Nov-20,6427836,6080747,347089,5.4
2005,Dec,12,Dec-20,6433912,6095642,338270,5.3
2006,Jan,1,Jan-20,6441382,6113695,327687,5.1
2006,Feb,2,Feb-20,6451005,6134401,316604,4.9
2006,Mar,3,Mar-20,6463362,6156184,307178,4.8
2006,Apr,4,Apr-20,6478443,6177693,300750,4.6
2006,May,5,May-20,6495465,6199195,296270,4.6
2006,Jun,6,Jun-20,6513369,6220837,292532,4.5
2006,Jul,7,Jul-20,6532199,6243665,288534,4.4
2006,Aug,8,Aug-20,6552460,6266985,285475,4.4
2006,Sep,9,Sep-20,6573252,6288064,285188,4.3
2006,Oct,10,Oct-20,6592252,6305158,287094,4.4
2006,Nov,11,Nov-20,6607145,6316919,290226,4.4
2006,Dec,12,Dec-20,6616283,6322363,293920,4.4
2007,Jan,1,Jan-20,6620604,6322280,298324,4.5
2007,Feb,2,Feb-20,6623049,6319804,303245,4.6
2007,Mar,3,Mar-20,6625194,6317542,307652,4.6
2007,Apr,4,Apr-20,6629361,6317789,311572,4.7
2007,May,5,May-20,6637831,6321339,316492,4.8
2007,Jun,6,Jun-20,6650894,6327742,323152,4.9
2007,Jul,7,Jul-20,6667148,6335700,331448,5
2007,Aug,8,Aug-20,6684622,6343732,340890,5.1
2007,Sep,9,Sep-20,6700912,6351056,349856,5.2
2007,Oct,10,Oct-20,6713641,6355963,357678,5.3
2007,Nov,11,Nov-20,6720994,6358249,362745,5.4
2007,Dec,12,Dec-20,6722716,6358186,364530,5.4
2008,Jan,1,Jan-20,6719466,6353880,365586,5.4
2008,Feb,2,Feb-20,6712103,6344116,367987,5.5
2008,Mar,3,Mar-20,6702655,6328876,373779,5.6
2008,Apr,4,Apr-20,6691978,6308469,383509,5.7
2008,May,5,May-20,6680143,6284189,395954,5.9
2008,Jun,6,Jun-20,6667190,6258121,409069,6.1
2008,Jul,7,Jul-20,6652581,6231413,421168,6.3
2008,Aug,8,Aug-20,6636562,6205083,431479,6.5
2008,Sep,9,Sep-20,6621432,6179097,442335,6.7
2008,Oct,10,Oct-20,6610157,6152180,457977,6.9
2008,Nov,11,Nov-20,6604189,6122512,481677,7.3
2008,Dec,12,Dec-20,6603955,6090230,513725,7.8
2009,Jan,1,Jan-20,6608305,6057455,550850,8.3
2009,Feb,2,Feb-20,6616877,6027328,589549,8.9
2009,Mar,3,Mar-20,6628347,6003114,625233,9.4
2009,Apr,4,Apr-20,6639249,5985380,653869,9.8
2009,May,5,May-20,6645470,5970489,674981,10.2
2009,Jun,6,Jun-20,6644812,5955214,689598,10.4
2009,Jul,7,Jul-20,6636459,5937036,699423,10.5
2009,Aug,8,Aug-20,6622400,5915107,707293,10.7
2009,Sep,9,Sep-20,6607886,5892295,715591,10.8
2009,Oct,10,Oct-20,6597946,5873134,724812,11
2009,Nov,11,Nov-20,6598227,5863022,735205,11.1
2009,Dec,12,Dec-20,6610271,5865244,745027,11.3
